Winner,Loser,Odds
Tiafoe F.,Thompson J.,1.65:2.23
Isner J.,Mannarino A.,1.3:3.49
Schwartzman D.,Copil M.,1.65:2.23
Norrie C.,Nishioka Y.,2.13:1.72
Kyrgios N.,Seppi A.,2.04:1.78
Zverev A.,Popyrin A.,1.16:5.19
Querrey S.,Garcia-Lopez G.,1.32:3.42
Nadal R.,Zverev M.,1.05:10.09
De Minaur A.,Jarry N.,1.28:3.67
Mcdonald M.,Nava E.,1.06:9.05
Lopez F.,Lajovic D.,2.03:1.78
Ferrer D.,Sandgren T.,1.57:2.4
Millman J.,Gojowczyk P.,1.44:2.79
Isner J.,Querrey S.,1.94:1.87
Mcdonald M.,Tiafoe F.,2.22:1.66
Wawrinka S.,Johnson S.,1.28:3.65
Norrie C.,Schwartzman D.,2.04:1.78
Kyrgios N.,Nadal R.,3.98:1.25
De Minaur A.,Lopez F.,1.28:3.65
Zverev A.,Ferrer D.,1.18:4.89
Norrie C.,Mcdonald M.,1.65:2.24
Zverev A.,De Minaur A.,1.34:3.26
Kyrgios N.,Wawrinka S.,2.52:1.53
Isner J.,Millman J.,1.63:2.28
Zverev A.,Norrie C.,1.17:5.09
Kyrgios N.,Isner J.,1.74:2.1
Kyrgios N.,Zverev A.,2.84:1.43
Fucsovics M.,Dzumhur D.,1.5:2.58
Verdasco F.,Fabbiano T.,1.4:2.93
Struff J.L.,Raonic M.,4.87:1.18
Basilashvili N.,Khachanov K.,2.61:1.49
Federer R.,Kohlschreiber P.,1.11:6.63
Bautista Agut R.,Ramanathan R.,1.07:8.41
Berankis R.,Medvedev D.,5.96:1.13
Kudla D.,Berrettini M.,3.02:1.38
Gerasimov E.,Haase R.,1.95:1.85
Nishikori K.,Paire B.,1.18:4.82
Hurkacz H.,Moutet C.,1.6:2.34
Baghdatis M.,Safwat M.,1.14:5.67
Berdych T.,Ivashka I.,1.16:5.33
Monfils G.,Cilic M.,1.88:1.93
Coric B.,Vesely J.,1.21:4.4
Tsitsipas S.,Ebden M.,1.25:3.95
Hurkacz H.,Nishikori K.,5.69:1.14
