Winner,Loser,Odds
Sonego L.,Delbonis F.,2.42:1.55
Munar J.,Sakamoto P.,1.11:6.49
Londero J.I.,Lorenzi P.,1.56:2.43
Dellien H.,Martinez P.,1.78:2.04
Ramos-Vinolas A.,Bagnis F.,1.61:2.31
Seyboth Wild T.,Ymer E.,2.6:1.5
Ruud C.,Monteiro T.,1.7:2.15
Djere L.,Giannessi A.,1.45:2.76
Auger-Aliassime F.,Cuevas P.,2.56:1.5
Garin C.,Munar J.,2.15:1.7
Mayer L.,Sonego L.,1.74:2.09
Pella G.,Carballes Baena R.,1.66:2.21
Trungelliti M.,Seyboth Wild T.,1.61:2.3
Dellien H.,Londero J.I.,2.43:1.56
Ruud C.,Sousa J.,1.85:1.95
Auger-Aliassime F.,Ramos-Vinolas A.,1.66:2.23
Djere L.,Jaziri M.,1.35:3.21
Garin C.,Mayer L.,2.06:1.77
Ruud C.,Dellien H.,1.51:2.58
Pella G.,Trungelliti M.,1.2:4.62
Djere L.,Auger-Aliassime F.,2.17:1.69
Garin C.,Ruud C.,2.23:1.66
Pella G.,Djere L.,1.51:2.57
Pella G.,Garin C.,1.5:2.62
Auger-Aliassime F.,Norrie C.,2.24:1.65
Andreozzi G.,Ivashka I.,3.43:1.32
Klizan M.,Zverev M.,1.48:2.64
Ramos-Vinolas A.,Dzumhur D.,2.14:1.71
Karlovic I.,Ebden M.,1.85:1.96
Kohlschreiber P.,Herbert P.H.,1.66:2.23
Thompson J.,Delbonis F.,1.56:2.43
Querrey S.,Berrettini M.,1.6:2.35
Giron M.,Chardy J.,3.07:1.37
Nishioka Y.,Kudla D.,1.45:2.76
Fratangelo B.,Ymer E.,1.67:2.21
Marterer M.,Humbert U.,2.57:1.51
Gunneswaran P.,Paire B.,2.51:1.53
Jaziri M.,Klahn B.,1.69:2.18
Struff J.L.,Millman J.,2.95:1.4
Mayer L.,Opelka R.,2.42:1.57
Lopez F.,Berdych T.,5.0:1.17
Albot R.,Copil M.,1.43:2.83
Gojowczyk P.,Seppi A.,2.53:1.52
Hurkacz H.,Young D.,1.48:2.65
Bolt A.,Gulbis E.,2.28:1.63
Lajovic D.,Daniel T.,1.62:2.3
Popyrin A.,Munar J.,1.9:1.91
Wawrinka S.,Evans D.,1.47:2.7
Haase R.,Istomin D.,2.21:1.67
Johnson S.,Fritz T.,2.07:1.76
Krajinovic F.,Kukushkin M.,1.59:2.36
Donaldson J.,Ito T.,1.76:2.07
Mannarino A.,Sandgren T.,1.81:2.01
Mcdonald M.,Sousa J.,1.74:2.11
Carballes Baena R.,Harrison R.,3.54:1.3
Jarry N.,Tiafoe F.,2.96:1.4
Giron M.,De Minaur A.,4.18:1.23
Djere L.,Andreozzi G.,1.52:2.54
Kecmanovic M.,Marterer M.,2.21:1.67
Auger-Aliassime F.,Tsitsipas S.,3.03:1.38
Simon G.,Jaziri M.,1.28:3.72
Monfils G.,Mayer L.,1.24:4.13
Karlovic I.,Coric B.,3.21:1.35
Raonic M.,Querrey S.,1.47:2.71
Ramos-Vinolas A.,Cecchinato M.,1.85:1.96
Struff J.L.,Berankis R.,1.55:2.44
Kohlschreiber P.,Kyrgios N.,2.51:1.53
Gunneswaran P.,Basilashvili N.,3.57:1.3
Zverev A.,Klizan M.,1.13:6.12
Djokovic N.,Fratangelo B.,1.02:16.48
Nishioka Y.,Bautista Agut R.,3.65:1.29
Thiem D.,Thompson J.,1.33:3.36
Edmund K.,Jarry N.,1.32:3.43
Krajinovic F.,Goffin D.,2.54:1.52
Nishikori K.,Mannarino A.,1.2:4.53
Rublev A.,Haase R.,1.63:2.28
Medvedev D.,Mcdonald M.,1.25:3.94
Schwartzman D.,Carballes Baena R.,1.31:3.5
Federer R.,Gojowczyk P.,1.05:10.26
Cilic M.,Lajovic D.,1.17:5.08
Pella G.,Bolt A.,1.44:2.8
Albot R.,Fognini F.,1.84:1.97
Shapovalov D.,Johnson S.,1.7:2.16
Isner J.,Popyrin A.,1.21:4.45
Khachanov K.,Lopez F.,1.33:3.36
Wawrinka S.,Fucsovics M.,1.43:2.86
Nadal R.,Donaldson J.,1.04:12.35
Hurkacz H.,Pouille L.,1.95:1.85
Raonic M.,Giron M.,1.12:6.32
Karlovic I.,Gunneswaran P.,1.61:2.33
Struff J.L.,Zverev A.,4.94:1.18
Kecmanovic M.,Djere L.,1.74:2.11
Monfils G.,Ramos-Vinolas A.,1.13:6.11
Thiem D.,Simon G.,1.4:2.97
Nishioka Y.,Auger-Aliassime F.,2.28:1.64
Krajinovic F.,Medvedev D.,3.31:1.33
Hurkacz H.,Nishikori K.,3.38:1.33
Shapovalov D.,Cilic M.,2.41:1.58
Nadal R.,Schwartzman D.,1.08:8.39
Isner J.,Pella G.,1.24:4.1
Kohlschreiber P.,Djokovic N.,9.64:1.06
Khachanov K.,Rublev A.,1.54:2.49
Edmund K.,Albot R.,1.33:3.35
Federer R.,Wawrinka S.,1.28:3.76
Nadal R.,Krajinovic F.,1.07:8.63
Kecmanovic M.,Nishioka Y.,2.36:1.6
Hurkacz H.,Shapovalov D.,3.01:1.39
Raonic M.,Struff J.L.,1.37:3.12
Federer R.,Edmund K.,1.21:4.52
Khachanov K.,Isner J.,2.28:1.64
Thiem D.,Karlovic I.,1.32:3.43
Monfils G.,Kohlschreiber P.,1.42:2.91
Raonic M.,Kecmanovic M.,1.17:5.14
Thiem D.,Monfils G.,2.26:1.65
Federer R.,Hurkacz H.,1.09:7.9
Nadal R.,Khachanov K.,1.16:5.41
Thiem D.,Raonic M.,2.37:1.59
Federer R.,Nadal R.,1.44:2.81
Thiem D.,Federer R.,3.98:1.25
Delbonis F.,Gojowczyk P.,2.14:1.71
Carballes Baena R.,Kudla D.,2.31:1.62
Andreozzi G.,Kukushkin M.,4.26:1.22
Tipsarevic J.,Klahn B.,2.19:1.68
Zverev M.,Kuhn N.,2.05:1.78
Hurkacz H.,Berrettini M.,2.04:1.77
Haase R.,Lacko L.,1.49:2.63
Mayer L.,Ymer M.,1.5:2.61
Thompson J.,Norrie C.,2.62:1.49
Bublik A.,Sandgren T.,1.73:2.11
Lajovic D.,Cuevas P.,2.84:1.43
Sonego L.,Klizan M.,1.53:2.51
Chardy J.,Jarry N.,1.59:2.36
Dzumhur D.,Eubanks C.,1.74:2.11
Ivashka I.,Fabbiano T.,1.99:1.83
Ramos-Vinolas A.,Copil M.,1.67:2.21
Auger-Aliassime F.,Ruud C.,1.48:2.66
Marterer M.,Fritz T.,2.46:1.55
Albot R.,Ebden M.,1.31:3.48
Tomic B.,Monteiro T.,1.75:2.09
Rublev A.,Daniel T.,1.26:3.9
Lopez F.,Paire B.,2.03:1.79
Munar J.,Gunneswaran P.,1.9:1.9
Sousa J.,Tseng C.H.,1.25:4.03
Krajinovic F.,Herbert P.H.,1.46:2.72
Evans D.,Jaziri M.,1.43:2.83
Opelka R.,Struff J.L.,2.03:1.79
Andujar P.,Karlovic I.,3.75:1.27
Mannarino A.,Bedene A.,1.43:2.83
Kecmanovic M.,Gulbis E.,1.54:2.48
Mcdonald M.,Humbert U.,1.76:2.07
Ferrer D.,Querrey S.,2.28:1.63
Edmund K.,Ivashka I.,1.2:4.6
Chardy J.,Simon G.,2.17:1.69
Lajovic D.,Nishikori K.,5.18:1.16
Coric B.,Carballes Baena R.,1.21:4.39
Basilashvili N.,Zverev M.,1.28:3.7
Raonic M.,Marterer M.,1.18:4.89
Delbonis F.,Millman J.,2.44:1.56
Isner J.,Sonego L.,1.25:3.93
Auger-Aliassime F.,Fucsovics M.,2.02:1.8
Kyrgios N.,Bublik A.,1.29:3.61
Ramos-Vinolas A.,Pouille L.,2.39:1.58
Haase R.,Harris L.,1.58:2.4
Bautista Agut R.,Tipsarevic J.,1.2:4.69
Hurkacz H.,Thiem D.,3.18:1.35
Fognini F.,Andreozzi G.,1.46:2.73
Djokovic N.,Tomic B.,1.03:12.75
Mayer L.,Pella G.,2.1:1.74
Shapovalov D.,Evans D.,1.53:2.51
Sousa J.,Johnson S.,2.37:1.59
Krajinovic F.,Wawrinka S.,2.27:1.64
Thompson J.,Khachanov K.,4.35:1.22
Cecchinato M.,Dzumhur D.,1.69:2.17
Goffin D.,Andujar P.,1.13:6.05
Medvedev D.,Mannarino A.,1.31:3.42
Anderson K.,Munar J.,1.52:2.54
Dimitrov G.,Lopez F.,1.54:2.47
Rublev A.,Cilic M.,2.49:1.54
Opelka R.,Schwartzman D.,2.11:1.73
Federer R.,Albot R.,1.11:6.66
Tsitsipas S.,Mcdonald M.,1.27:3.84
Tiafoe F.,Kecmanovic M.,1.86:1.96
Ferrer D.,Zverev A.,4.05:1.24
Isner J.,Ramos-Vinolas A.,1.21:4.52
Bautista Agut R.,Fognini F.,1.41:2.93
Edmund K.,Raonic M.,2.31:1.62
Basilashvili N.,Haase R.,1.5:2.6
Auger-Aliassime F.,Hurkacz H.,2.11:1.74
Djokovic N.,Delbonis F.,1.03:13.64
Coric B.,Chardy J.,1.5:2.63
Kyrgios N.,Lajovic D.,1.3:3.56
Thompson J.,Dimitrov G.,2.94:1.41
Anderson K.,Sousa J.,1.52:2.55
Federer R.,Krajinovic F.,1.19:4.77
Medvedev D.,Opelka R.,1.28:3.69
Shapovalov D.,Rublev A.,1.67:2.22
Goffin D.,Cecchinato M.,1.27:3.85
Tiafoe F.,Ferrer D.,1.99:1.83
Tsitsipas S.,Mayer L.,1.27:3.84
Auger-Aliassime F.,Basilashvili N.,1.79:2.04
Isner J.,Edmund K.,1.85:1.97
Coric B.,Kyrgios N.,2.31:1.62
Bautista Agut R.,Djokovic N.,4.79:1.19
Anderson K.,Thompson J.,1.42:2.9
Tiafoe F.,Goffin D.,2.57:1.51
Shapovalov D.,Tsitsipas S.,2.2:1.68
Federer R.,Medvedev D.,1.31:3.52
Isner J.,Bautista Agut R.,1.84:1.98
Auger-Aliassime F.,Coric B.,2.22:1.67
Shapovalov D.,Tiafoe F.,1.56:2.45
Federer R.,Anderson K.,1.18:4.86
Isner J.,Auger-Aliassime F.,1.51:2.6
Federer R.,Shapovalov D.,1.2:4.56
Federer R.,Isner J.,1.25:4.03
Harrison R.,Karlovic I.,2.24:1.65
Ruud C.,Dellien H.,1.46:2.72
Garin C.,Cuevas P.,2.32:1.6
Granollers M.,Fritz T.,2.24:1.65
Tomic B.,Kudla D.,1.83:1.98
Galan D.E.,Lorenzi P.,2.05:1.76
Laaksonen H.,Mcdonald M.,1.75:2.07
Garcia-Lopez G.,Rubin N.,1.54:2.45
Giraldo S.,Klahn B.,1.44:2.77
Thompson J.,Krstin P.,1.55:2.45
Querrey S.,Fratangelo B.,1.64:2.25
Tipsarevic J.,Sandgren T.,2.7:1.46
Granollers M.,Tomic B.,1.6:2.32
Laaksonen H.,Harrison R.,1.92:1.89
Garin C.,Chardy J.,1.69:2.15
Ruud C.,Opelka R.,1.89:1.9
Tipsarevic J.,Norrie C.,2.26:1.63
Querrey S.,Garcia-Lopez G.,1.46:2.68
Galan D.E.,Johnson S.,2.83:1.42
Thompson J.,Giraldo S.,1.62:2.29
Garin C.,Laaksonen H.,1.46:2.7
Querrey S.,Tipsarevic J.,1.4:2.94
Ruud C.,Granollers M.,1.62:2.29
Galan D.E.,Thompson J.,2.2:1.67
Garin C.,Querrey S.,2.01:1.8
Ruud C.,Galan D.E.,1.31:3.47
Garin C.,Ruud C.,1.67:2.2
Andreozzi G.,Ramos-Vinolas A.,2.42:1.56
Simon G.,Kovalik J.,1.37:3.07
Edmund K.,Humbert U.,1.19:4.55
Daniel T.,Zverev M.,1.46:2.7
Tsonga J.W.,Stebe C.M.,1.1:6.89
Paire B.,Bedene A.,2.02:1.79
Herbert P.H.,Fabbiano T.,1.6:2.34
Menendez-Maceiras A.,Verdasco F.,4.75:1.18
Londero J.I.,Berlocq C.,1.52:2.53
Munar J.,Bagnis F.,1.33:3.28
Kohlschreiber P.,Davidovich Fokina A.,1.53:2.48
Sonego L.,Djere L.,2.2:1.66
Haase R.,Jaziri M.,1.44:2.75
Vesely J.,Fognini F.,2.34:1.59
Andujar P.,Delbonis F.,2.29:1.61
Zverev A.,Istomin D.,1.1:7.0
Sonego L.,Haase R.,1.64:2.24
Daniel T.,Menendez-Maceiras A.,1.33:3.3
Simon G.,Andreozzi G.,1.61:2.29
Tsonga J.W.,Edmund K.,2.7:1.45
Vesely J.,Londero J.I.,1.75:2.06
Andujar P.,Kohlschreiber P.,1.99:1.81
Paire B.,Herbert P.H.,1.68:2.16
Munar J.,Zverev A.,3.97:1.24
Simon G.,Daniel T.,1.38:3.03
Andujar P.,Vesely J.,1.73:2.1
Paire B.,Munar J.,2.37:1.58
Tsonga J.W.,Sonego L.,1.43:2.79
Andujar P.,Simon G.,1.95:1.85
Paire B.,Tsonga J.W.,3.03:1.38
Paire B.,Andujar P.,2.16:1.69
Coric B.,Hurkacz H.,1.5:2.56
Dimitrov G.,Berrettini M.,1.74:2.1
Pella G.,Djere L.,1.68:2.18
Wawrinka S.,Pouille L.,1.39:3.0
Fucsovics M.,Basilashvili N.,1.76:2.05
Bautista Agut R.,Millman J.,1.17:5.02
Lajovic D.,Jaziri M.,1.36:3.13
Medvedev D.,Sousa J.,1.55:2.44
Struff J.L.,Shapovalov D.,2.24:1.64
Kohlschreiber P.,Daniel T.,1.32:3.34
Kukushkin M.,Chardy J.,2.53:1.52
Cecchinato M.,Dzumhur D.,1.27:3.77
Goffin D.,Andreozzi G.,1.31:3.46
Fognini F.,Rublev A.,2.06:1.76
Munar J.,Catarina L.,1.04:11.7
Klizan M.,Delbonis F.,3.08:1.37
Albot R.,Bedene A.,2.47:1.54
Sonego L.,Seppi A.,1.48:2.63
Schwartzman D.,Edmund K.,2.23:1.65
Auger-Aliassime F.,Londero J.I.,1.44:2.74
Norrie C.,Mannarino A.,1.6:2.34
Fritz T.,Tsonga J.W.,5.56:1.14
Herbert P.H.,Verdasco F.,2.37:1.58
Simon G.,Popyrin A.,1.42:2.88
Pella G.,Cilic M.,2.18:1.68
Sonego L.,Khachanov K.,2.3:1.61
Djokovic N.,Kohlschreiber P.,1.17:5.06
Coric B.,Munar J.,1.63:2.27
Cecchinato M.,Wawrinka S.,2.43:1.56
Tsitsipas S.,Kukushkin M.,1.24:4.06
Medvedev D.,Albot R.,1.43:2.79
Herbert P.H.,Nishikori K.,4.24:1.22
Norrie C.,Fucsovics M.,2.86:1.42
Fognini F.,Simon G.,1.92:1.87
Fritz T.,Schwartzman D.,5.2:1.16
Zverev A.,Auger-Aliassime F.,1.48:2.63
Dimitrov G.,Struff J.L.,1.66:2.2
Nadal R.,Bautista Agut R.,1.07:8.48
Thiem D.,Klizan M.,1.22:4.25
Lajovic D.,Goffin D.,3.71:1.28
Medvedev D.,Tsitsipas S.,2.07:1.76
Pella G.,Cecchinato M.,2.39:1.58
Djokovic N.,Fritz T.,1.07:8.45
Sonego L.,Norrie C.,1.56:2.43
Nadal R.,Dimitrov G.,1.03:12.98
Lajovic D.,Thiem D.,4.98:1.17
Fognini F.,Zverev A.,3.96:1.25
Coric B.,Herbert P.H.,1.43:2.82
Lajovic D.,Sonego L.,1.7:2.15
Medvedev D.,Djokovic N.,4.34:1.22
Nadal R.,Pella G.,1.02:15.87
Fognini F.,Coric B.,2.27:1.63
Lajovic D.,Medvedev D.,2.82:1.43
Fognini F.,Nadal R.,7.91:1.08
Fognini F.,Lajovic D.,1.59:2.36
Mayer L.,Copil M.,1.3:3.5
Fucsovics M.,Kudla D.,1.18:4.75
Mcdonald M.,Daniel T.,3.44:1.31
Struff J.L.,Dellien H.,1.51:2.55
Munar J.,Sousa P.,1.29:3.53
Fritz T.,Opelka R.,1.73:2.09
Verdasco F.,Lopez F.,1.49:2.61
Jarry N.,Granollers M.,1.85:1.93
Schwartzman D.,Nishioka Y.,1.25:3.95
Paire B.,Londero J.I.,1.54:2.46
Kuhn N.,Delbonis F.,5.15:1.16
Jaziri M.,Andreozzi G.,2.72:1.46
Ferrer D.,Zverev M.,1.13:5.99
Ramos-Vinolas A.,Norrie C.,1.58:2.37
Garin C.,Klizan M.,1.7:2.14
Pella G.,Sousa J.,1.36:3.13
Nishikori K.,Fritz T.,1.27:3.73
Jarry N.,Zverev A.,4.73:1.19
Munar J.,Tiafoe F.,1.43:2.8
Struff J.L.,Goffin D.,2.44:1.55
Thiem D.,Schwartzman D.,1.3:3.49
Tsitsipas S.,Fucsovics M.,1.32:3.38
Auger-Aliassime F.,Jaziri M.,1.22:4.25
Medvedev D.,Ramos-Vinolas A.,1.48:2.65
Mcdonald M.,Simon G.,2.77:1.44
Ferrer D.,Pouille L.,1.61:2.31
Carballes Baena R.,Kuhn N.,1.41:2.9
Nadal R.,Mayer L.,1.03:12.57
Pella G.,Khachanov K.,1.92:1.88
Paire B.,Carreno Busta P.,1.43:2.81
Dimitrov G.,Verdasco F.,1.66:2.22
Garin C.,Shapovalov D.,1.7:2.14
Medvedev D.,Mcdonald M.,1.17:4.93
Nishikori K.,Auger-Aliassime F.,1.64:2.25
Thiem D.,Munar J.,1.29:3.6
Jarry N.,Dimitrov G.,2.82:1.42
Nadal R.,Ferrer D.,1.14:5.59
Carballes Baena R.,Garin C.,2.81:1.43
Struff J.L.,Tsitsipas S.,3.73:1.27
Pella G.,Paire B.,1.65:2.23
Medvedev D.,Jarry N.,1.27:3.79
Nishikori K.,Carballes Baena R.,1.27:3.76
Nadal R.,Struff J.L.,1.06:9.4
Thiem D.,Pella G.,1.35:3.22
Medvedev D.,Nishikori K.,1.98:1.83
Thiem D.,Nadal R.,3.17:1.36
Thiem D.,Medvedev D.,1.29:3.58
Berrettini M.,Kukushkin M.,1.59:2.34
Bedene A.,Tomic B.,1.44:2.78
Krajinovic F.,Seppi A.,1.44:2.78
Albot R.,Stakhovsky S.,1.27:3.71
Gojowczyk P.,Harris L.,2.27:1.62
Millman J.,Kecmanovic M.,2.14:1.7
Herbert P.H.,Gerasimov E.,1.35:3.26
Balazs A.,Hurkacz H.,3.25:1.34
Haase R.,Fabbiano T.,1.47:2.66
Djere L.,Gulbis E.,1.41:2.91
Cuevas P.,Maden Y.,1.38:2.99
Sinner J.,Valkusz M.,1.87:1.92
Balazs A.,Millman J.,2.76:1.44
Herbert P.H.,Bachinger M.,1.28:3.62
Krajinovic F.,Albot R.,1.37:3.08
Coric B.,Haase R.,1.33:3.28
Berrettini M.,Bedene A.,1.65:2.22
Basilashvili N.,Gojowczyk P.,1.42:2.84
Cuevas P.,Cilic M.,2.33:1.59
Djere L.,Sinner J.,1.2:4.54
Krajinovic F.,Coric B.,2.07:1.75
Herbert P.H.,Balazs A.,1.52:2.54
Berrettini M.,Cuevas P.,1.6:2.32
Djere L.,Basilashvili N.,1.67:2.2
Krajinovic F.,Herbert P.H.,1.39:2.98
Berrettini M.,Djere L.,1.68:2.17
Berrettini M.,Krajinovic F.,2.18:1.68
Andreozzi G.,Dellien H.,1.93:1.86
Nishioka Y.,Mcdonald M.,1.72:2.11
Opelka R.,Sousa P.,2.12:1.71
Domingues J.,De Minaur A.,2.04:1.77
Davidovich Fokina A.,Fritz T.,1.76:2.05
Jaziri M.,Jarry N.,3.16:1.35
Chardy J.,Carreno Busta P.,2.07:1.74
Millman J.,Tomic B.,1.41:2.89
Cuevas P.,Caruso S.,1.33:3.29
Sousa J.,Popyrin A.,1.47:2.64
Mayer L.,Lajovic D.,2.09:1.73
Tiafoe F.,Kukushkin M.,1.7:2.14
Domingues J.,Millman J.,2.44:1.55
Monfils G.,Opelka R.,1.49:2.6
Tsitsipas S.,Andreozzi G.,1.17:4.97
Davidovich Fokina A.,Chardy J.,2.02:1.78
Cuevas P.,Baldi F.,1.19:4.66
Goffin D.,Sousa J.,1.47:2.66
Jaziri M.,Mayer L.,3.45:1.31
Tiafoe F.,Nishioka Y.,1.64:2.25
Tsitsipas S.,Domingues J.,1.11:6.6
Goffin D.,Jaziri M.,1.2:4.5
Davidovich Fokina A.,Monfils G.,2.64:1.48
Cuevas P.,Tiafoe F.,1.57:2.41
Tsitsipas S.,Goffin D.,1.52:2.53
Cuevas P.,Davidovich Fokina A.,1.55:2.46
Tsitsipas S.,Cuevas P.,1.37:3.1
Daniel T.,Humbert U.,1.65:2.21
Fucsovics M.,Sonego L.,1.93:1.85
Londero J.I.,Marterer M.,1.53:2.48
Schwartzman D.,Paire B.,1.59:2.33
Klizan M.,Gulbis E.,1.5:2.55
Garin C.,Maden Y.,1.53:2.47
Monteiro T.,Struff J.L.,3.49:1.3
Kohlschreiber P.,Seppi A.,1.31:3.42
Pella G.,Zverev M.,1.1:6.78
Berrettini M.,Istomin D.,1.36:3.09
Molleker R.,Copil M.,1.79:2.01
Kudla D.,Edmund K.,6.44:1.11
Garin C.,Schwartzman D.,2.07:1.75
Zverev A.,Londero J.I.,1.19:4.61
Cecchinato M.,Klizan M.,1.65:2.22
Fucsovics M.,Monteiro T.,1.61:2.3
Pella G.,Daniel T.,1.18:4.82
Bautista Agut R.,Molleker R.,1.22:4.22
Kohlschreiber P.,Khachanov K.,1.54:2.46
Berrettini M.,Kudla D.,1.26:3.8
Cecchinato M.,Fucsovics M.,1.57:2.4
Garin C.,Zverev A.,3.16:1.35
Berrettini M.,Kohlschreiber P.,2.22:1.66
Bautista Agut R.,Pella G.,1.78:2.05
Garin C.,Cecchinato M.,1.98:1.83
Berrettini M.,Bautista Agut R.,2.16:1.69
Garin C.,Berrettini M.,1.86:1.95
Struff J.L.,Kyrgios N.,2.0:1.81
Auger-Aliassime F.,Shapovalov D.,1.72:2.11
Opelka R.,Carreno Busta P.,2.09:1.74
Khachanov K.,Munar J.,2.01:1.8
Djere L.,Lajovic D.,2.14:1.71
Tiafoe F.,Basilashvili N.,2.02:1.8
Kohlschreiber P.,Kukushkin M.,1.35:3.23
Cilic M.,Klizan M.,1.53:2.51
Fritz T.,Dimitrov G.,2.73:1.46
Monfils G.,Seppi A.,1.28:3.7
Gasquet R.,Davidovich Fokina A.,3.03:1.39
Verdasco F.,Albot R.,1.53:2.52
Hurkacz H.,De Minaur A.,1.36:3.15
Fucsovics M.,Goffin D.,2.37:1.59
Pella G.,Medvedev D.,2.41:1.57
Wawrinka S.,Herbert P.H.,1.44:2.8
Mannarino A.,Sousa J.,2.75:1.45
Schwartzman D.,Cecchinato M.,1.97:1.85
Fognini F.,Edmund K.,1.82:1.99
Dellien H.,Simon G.,2.35:1.6
Chardy J.,Ramos-Vinolas A.,2.64:1.51
Ferrer D.,Bautista Agut R.,2.23:1.66
Millman J.,Johnson S.,1.7:2.16
Pouille L.,Coric B.,2.88:1.42
Djokovic N.,Fritz T.,1.11:6.71
Cilic M.,Struff J.L.,1.91:1.89
Federer R.,Gasquet R.,1.1:7.08
Thiem D.,Opelka R.,1.14:5.88
Nishikori K.,Dellien H.,1.14:5.78
Tiafoe F.,Kohlschreiber P.,2.55:1.52
Chardy J.,Schwartzman D.,3.14:1.36
Wawrinka S.,Pella G.,1.65:2.25
Monfils G.,Fucsovics M.,1.52:2.54
Djere L.,Del Potro J.M.,2.07:1.76
Nadal R.,Auger-Aliassime F.,1.16:5.29
Fognini F.,Millman J.,1.35:3.21
Tsitsipas S.,Mannarino A.,1.13:6.15
Hurkacz H.,Pouille L.,1.72:2.13
Verdasco F.,Khachanov K.,2.19:1.68
Zverev A.,Ferrer D.,1.33:3.35
Cilic M.,Djere L.,1.64:2.27
Djokovic N.,Chardy J.,1.09:7.82
Thiem D.,Fognini F.,1.36:3.17
Federer R.,Monfils G.,1.29:3.62
Wawrinka S.,Nishikori K.,1.72:2.13
Tsitsipas S.,Verdasco F.,1.35:3.2
Zverev A.,Hurkacz H.,1.41:2.93
Nadal R.,Tiafoe F.,1.05:10.39
Djokovic N.,Cilic M.,1.14:5.77
Thiem D.,Federer R.,1.43:2.83
Tsitsipas S.,Zverev A.,1.69:2.18
Nadal R.,Wawrinka S.,1.22:4.4
Djokovic N.,Thiem D.,1.78:2.06
Tsitsipas S.,Nadal R.,6.45:1.12
Djokovic N.,Tsitsipas S.,1.43:2.85
Basilashvili N.,Fucsovics M.,2.58:1.5
Kohlschreiber P.,Simon G.,1.37:3.1
Berrettini M.,Pouille L.,1.39:2.98
Sinner J.,Johnson S.,2.17:1.68
Bautista Agut R.,Seppi A.,1.24:4.07
Coric B.,Auger-Aliassime F.,1.99:1.82
Djere L.,Kukushkin M.,1.41:2.93
Verdasco F.,Edmund K.,2.14:1.71
Khachanov K.,Sonego L.,1.79:2.03
Ruud C.,Evans D.,1.39:2.99
Shapovalov D.,Carreno Busta P.,1.67:2.2
Cecchinato M.,De Minaur A.,1.25:3.99
Ramos-Vinolas A.,Monfils G.,3.27:1.34
Norrie C.,Millman J.,1.88:1.92
Fognini F.,Tsonga J.W.,1.36:3.15
Albot R.,Paire B.,2.74:1.45
Fritz T.,Pella G.,3.09:1.37
Goffin D.,Wawrinka S.,2.58:1.51
Chardy J.,Gasquet R.,1.67:2.21
Schwartzman D.,Nishioka Y.,1.42:2.88
Kyrgios N.,Medvedev D.,3.01:1.39
Sousa J.,Tiafoe F.,2.71:1.46
Cilic M.,Basso A.,1.08:8.32
Struff J.L.,Dimitrov G.,2.13:1.72
Khachanov K.,Bautista Agut R.,2.18:1.68
Berrettini M.,Zverev A.,2.35:1.6
Basilashvili N.,Djere L.,2.3:1.62
Coric B.,Norrie C.,1.22:4.32
Schwartzman D.,Ramos-Vinolas A.,1.45:2.77
Verdasco F.,Thiem D.,4.96:1.18
Nishikori K.,Fritz T.,1.31:3.47
Federer R.,Sousa J.,1.08:8.26
Struff J.L.,Cilic M.,2.41:1.57
Nadal R.,Chardy J.,1.04:12.0
Del Potro J.M.,Goffin D.,2.34:1.61
Ruud C.,Kyrgios N.,2.24:1.65
Tsitsipas S.,Sinner J.,1.13:6.2
Djokovic N.,Shapovalov D.,1.1:7.18
Kohlschreiber P.,Cecchinato M.,2.17:1.7
Fognini F.,Albot R.,1.26:3.91
Schwartzman D.,Berrettini M.,2.43:1.57
Verdasco F.,Khachanov K.,2.69:1.47
Federer R.,Coric B.,1.52:2.55
Nishikori K.,Struff J.L.,1.48:2.66
Del Potro J.M.,Ruud C.,1.37:3.1
Nadal R.,Basilashvili N.,1.04:11.3
Djokovic N.,Kohlschreiber P.,1.09:7.64
Tsitsipas S.,Fognini F.,1.49:2.64
Schwartzman D.,Nishikori K.,2.42:1.58
Nadal R.,Verdasco F.,1.04:12.01
Tsitsipas S.,Federer R.,1.67:2.12
Djokovic N.,Del Potro J.M.,1.12:6.54
Nadal R.,Tsitsipas S.,1.23:4.2
Djokovic N.,Schwartzman D.,1.13:6.17
Nadal R.,Djokovic N.,1.5:2.63
Gulbis E.,Nishioka Y.,2.52:1.52
Londero J.I.,Zverev M.,1.23:4.13
Kudla D.,Thompson J.,2.29:1.61
Daniel T.,Zapata Miralles B.,1.61:2.31
Dellien H.,Seppi A.,1.82:1.99
Jarry N.,Ebden M.,1.13:5.91
Albot R.,Sonego L.,2.46:1.54
Tipsarevic J.,Gojowczyk P.,2.41:1.56
Ramos-Vinolas A.,Mannarino A.,1.33:3.27
Sousa J.,Mayer L.,1.98:1.81
Delbonis F.,Dimitrov G.,2.73:1.45
Dzumhur D.,Lopez F.,1.5:2.57
Zverev A.,Gulbis E.,1.18:4.83
Dellien H.,Tipsarevic J.,1.46:2.7
Albot R.,Londero J.I.,1.8:2.0
Delbonis F.,Fucsovics M.,1.97:1.82
Daniel T.,Garin C.,3.36:1.32
Jarry N.,Kudla D.,1.4:2.93
Ramos-Vinolas A.,Sousa J.,1.62:2.27
Dzumhur D.,Wawrinka S.,3.86:1.26
Jarry N.,Daniel T.,1.44:2.77
Albot R.,Dzumhur D.,1.87:1.93
Zverev A.,Dellien H.,1.17:5.07
Delbonis F.,Ramos-Vinolas A.,1.68:2.19
