nome,mao_dominante,data_de_nascimento,local,altura
Londero J.,R,19930815,ARG,180
Thiem D.,R,19930903,AUT,185
Karatsev A.,R,19930904,RUS,185
Martinavarro A.,R,19930914,ESP,180
Delic M.,R,19930929,CRO,196
Golding O.,R,19930929,GBR,180
Kern R.,R,19931003,GER,180
Domingues J.,R,19931005,POR,178
Patino L.,R,19931006,MEX,180
Novikov D.,R,19931106,USA,180
Smith A.,U,19931125,USA,180
Heshaam A.,R,19931224,MAS,180
Broady L.,L,19940104,GBR,180
Krueger M.,R,19940112,USA,180
Bourgue M.,R,19940118,FRA,180
Peliwo F.,R,19940130,CAN,180
Saville L.,R,19940201,AUS,180
Coppejans K.,R,19940207,BEL,180
Barrere G.,R,19940216,FRA,183
Pouille L.,R,19940223,FRA,185
Harris A.,R,19940307,AUS,180
Tepavac M.,R,19940405,SRB,180
Gao X.,U,19940512,CHN,180
Safranek V.,R,19940520,CZE,180
Mutawa J.,U,19940521,QAT,180
Harrison C.,R,19940529,USA,180
Monteiro T.,L,19940531,BRA,183
Halebian A.,L,19940608,USA,180
Karlovskiy E.,R,19940807,RUS,180
Krstin P.,R,19940903,SRB,180
Pavlasek A.,R,19941008,CZE,186
Lokoli L.,R,19941018,FRA,180
Ramanathan R.,R,19941108,IND,188
Veger F.,R,19941221,CRO,180
Edmund K.,R,19950108,GBR,188
Donati M.,R,19950228,ITA,180
Silva F.,L,19950318,POR,180
Trongcharoenchaikul W.,R,19950408,THA,180
Cachin P.,R,19950412,ARG,180
Kyrgios N.,R,19950427,AUS,193
Gomez L.,U,19950811,MEX,178
Nishioka Y.,L,19950927,JPN,170
Quinzi G.,L,19960201,ITA,180
Medvedev D.,R,19960211,RUS,198
Kokkinakis T.,R,19960410,AUS,196
Mott B.,U,19960421,AUS,180
Garin C.,R,19960530,CHI,185
Ciorcila P.,R,19960920,ROU,180
Coric B.,R,19961114,CRO,188
Cabal J.,R,19860425,COL,185
Perez E.,U,19850629,CUB,180
Hajji A.,U,19901205,QAT,180
Masur D.,R,19940611,GER,180
Napolitano S.,R,19950411,ITA,180
Basso A.,L,19931008,ITA,180
Lenz J.,R,19930217,GER,180
Marterer M.,L,19950615,GER,180
Zayed M.,U,19940309,QAT,180
King K.,U,19910228,USA,180
Simonsson F.,R,19941127,SWE,180
Thompson C.,R,19920504,USA,180
Tearney F.,R,19900927,NZL,183
Milojevic N.,R,19950619,SRB,188
Hernandez D.,R,19940623,ESP,180
Menezes J.,R,19961217,BRA,180
Eubanks C.,R,19960505,USA,180
Pasha N.,U,19920715,USA,180
Miedler L.,R,19960621,AUT,180
Ymer E.,R,19960410,SWE,183
Thompson J.,U,19741017,USA,180
Hossam K.,R,19940408,EGY,180
Torpegaard M.,R,19940508,DEN,180
Tu L.,R,19960527,AUS,180
Mcdonald M.,R,19950416,USA,180
Kadhe A.,R,19940107,IND,180
Halys Q.,R,19961026,FRA,180
Couacaud E.,R,19950301,FRA,180
Hamou M.,R,19950608,FRA,180
Rubin N.,R,19960221,USA,180
Djere L.,R,19950602,SRB,188
Kwiatkowski T.,R,19950213,USA,180
Aragone J.,R,19950628,USA,180
Khachanov K.,R,19960521,RUS,198
Nagal S.,R,19970816,IND,180
Donaldson J.,R,19961009,USA,180
Kozlov S.,R,19980201,USA,180
Mmoh M.,R,19980110,USA,180
Schnur B.,R,19950704,CAN,180
Majchrzak K.,R,19960113,POL,180
Baldi F.,R,19960110,ITA,180
Jarry N.,R,19951011,CHI,198
Norrie C.,L,19950823,GBR,188
Anderson O.,U,19980430,AUS,180
Ilkel C.,R,19950821,TUR,185
Jasika O.,L,19970518,AUS,180
Bourchier H.,R,19960124,AUS,180
Polmans M.,R,19970502,AUS,180
Santillan A.,R,19970522,AUS,180
Chrysochos P.,R,19960408,CYP,180
Wild T.,U,19760320,AUT,180
Clarke J.,U,19861016,USA,180
Van D.,U,19670819,USA,180
Silva F.,U,19850308,BRA,180
Maden Y.,R,19891028,GER,185
Takahashi Y.,U,19700429,JPN,180
Moraing M.,L,19920620,GER,180
Popko D.,R,19961024,KAZ,180
Bogaerts R.,U,19931223,BEL,180
Zandschulp B.,R,19951004,NED,180
Bublik A.,R,19970617,KAZ,196
Monteiro J.,U,19931227,POR,180
Leshem E.,U,19970319,ISR,1.83
Zayid M.,U,19950414,QAT,180
Barrios M.,U,19940317,ARG,180
Varillas J.,R,19951006,PER,180
Perez E.,U,19781207,ESP,180
Galan D.,R,19960618,COL,191
Altamirano C.,R,19951207,USA,180
Celikbilek A.,U,19960907,TUR,180
Choinski J.,R,19960610,GER,180
Hemery C.,R,19950128,FRA,180
Nava E.,R,19970311,USA,180
Escobedo E.,R,19960704,USA,180
Ofner S.,R,19960512,AUT,180
Mukund S.,R,19970114,IND,180
Muller A.,R,19970201,FRA,180
Opelka R.,R,19970828,USA,211
Varela M.,U,19730713,ARG,180
Ivashka I.,R,19940224,BLR,193
Rublev A.,R,19971020,RUS,188
Serdarusic N.,U,19961213,CRO,180
